rcno,rcdt,stus,tin,ptyp,yerr,amount,channel
50000102,2025-07-18,0,100077B,CIT,2025,6.08,DD
50000103,2024-01-12,0,100086G,VAT,2023,404.92,COUNTER
50000104,2024-06-16,0,100086G,VAT,2024,1149.55,PORTAL
50000105,2026-01-29,0,100086G,VAT,2025,3380.42,COUNTER
50000106,2023-08-14,0,100086G,CIT,2023,1109.82,COUNTER
50000107,2024-08-28,0,100086G,CIT,2024,2431.48,COUNTER
50000108,2025-06-13,0,100086G,CIT,2025,6196.49,PORTAL
50000109,2021-07-27,0,100086G,CIT,2021,710.86,BANK
50000110,2022-08-29,0,100086G,CIT,2022,1711.04,PORTAL
50000111,2023-08-29,0,100086G,CIT,2023,238.25,BANK
50000112,2024-07-03,0,100086G,CIT,2024,1920.0,COUNTER
50000113,2025-08-19,0,100086G,CIT,2025,1948.47,DD
50000114,2022-01-21,0,100086G,SSC,2021,176.85,BANK
50000115,2022-12-08,0,100086G,SSC,2022,835.41,PORTAL
50000116,2023-10-11,0,100086G,SSC,2023,171.74,BANK
50000117,2024-11-11,0,100086G,SSC,2024,916.06,DD
50000118,2025-09-21,0,100086G,SSC,2025,2061.04,DD
50000119,2022-10-17,0,100091L,FSS,2022,117.89,BANK
50000120,2023-03-27,0,100091L,FSS,2023,16809.16,PORTAL
50000121,2024-05-03,0,100091L,FSS,2024,25571.23,BANK
50000122,2025-12-04,8,100091L,FSS,2025,9041.56,DD
50000123,2020-04-20,0,100091L,VAT,2020,3989.08,BANK
50000124,2021-07-17,0,100091L,VAT,2021,20102.8,DD
50000125,2022-03-29,0,100091L,VAT,2022,14565.4,DD
50000126,2023-09-19,0,100091L,VAT,2023,35358.63,BANK
50000127,2024-03-06,0,100091L,VAT,2024,16365.48,BANK
50000128,2025-06-14,0,100091L,VAT,2025,22365.0,COUNTER
50000129,2020-12-03,0,100091L,SSC,2020,6031.25,PORTAL
50000130,2021-03-30,0,100091L,SSC,2021,25035.67,BANK
50000131,2023-01-03,0,100091L,SSC,2022,4539.54,DD
50000132,2023-09-03,0,100091L,SSC,2023,871.94,DD
50000133,2024-06-20,0,100091L,SSC,2024,28468.95,COUNTER
50000134,2026-02-06,0,100091L,SSC,2025,2494.02,DD
50000135,2023-08-20,0,100091L,CIT,2023,16839.88,COUNTER
50000136,2024-06-12,0,100091L,CIT,2024,70360.11,BANK
50000137,2025-07-25,0,100091L,CIT,2025,72861.87,COUNTER
50000138,2022-12-20,0,100098M,VAT,2022,859.67,DD
50000139,2023-12-28,0,100098M,VAT,2023,2269.94,PORTAL
50000140,2024-11-04,0,100098M,VAT,2024,2939.59,PORTAL
50000141,2025-12-17,0,100098M,VAT,2025,5943.5,PORTAL
50000142,2022-08-07,0,100098M,CIT,2022,1253.94,COUNTER
50000143,2023-07-17,0,100098M,CIT,2023,2283.43,BANK
50000144,2024-08-08,0,100098M,CIT,2024,1139.73,BANK
50000145,2025-08-14,0,100098M,CIT,2025,6110.5,COUNTER
50000146,2023-09-10,0,100098M,FSS,2023,274.31,PORTAL
50000147,2024-09-23,0,100098M,FSS,2024,1026.22,COUNTER
50000148,2025-08-06,0,100098M,FSS,2025,206.85,DD
50000149,2022-05-04,0,100098M,SSC,2022,933.11,COUNTER
50000150,2023-05-13,0,100098M,SSC,2023,1080.46,BANK
50000151,2024-02-26,8,100098M,SSC,2024,2967.61,BANK
50000152,2025-02-25,0,100098M,SSC,2025,5047.73,BANK
50000153,2020-08-16,0,100105A,CIT,2020,427.18,BANK
50000154,2021-06-19,0,100105A,CIT,2021,1436.32,COUNTER
50000155,2022-06-20,0,100105A,CIT,2022,816.4,BANK
50000156,2023-06-14,0,100105A,CIT,2023,679.36,COUNTER
50000157,2024-06-10,0,100105A,CIT,2024,72.16,DD
50000158,2025-06-21,0,100105A,CIT,2025,1655.07,DD
50000159,2024-02-10,0,100114G,SSC,2023,1282.9,PORTAL
50000160,2024-03-19,0,100114G,SSC,2024,854.94,BANK
50000161,2025-03-10,0,100114G,SSC,2025,6733.95,BANK
50000162,2023-07-22,0,100123B,SA,2023,2582.61,DD
50000163,2024-06-28,8,100123B,SA,2024,1688.87,COUNTER
50000164,2025-08-19,0,100123B,SA,2025,4696.01,PORTAL
50000165,2022-07-13,0,100123B,FSS,2022,259.35,DD
50000166,2023-08-07,0,100123B,FSS,2023,1074.99,PORTAL
50000167,2024-07-04,0,100123B,FSS,2024,108.59,PORTAL
50000168,2025-12-15,0,100123B,FSS,2025,313.39,DD
50000169,2020-08-17,0,100126L,SA,2020,428.53,BANK
50000170,2021-06-28,0,100126L,SA,2021,388.66,PORTAL
50000171,2022-08-04,0,100126L,SA,2022,783.6,PORTAL
50000172,2023-06-27,0,100126L,SA,2023,2633.3,DD
50000173,2024-06-27,0,100126L,SA,2024,2795.27,DD
50000174,2025-07-04,0,100126L,SA,2025,5066.67,COUNTER
50000175,2023-06-11,0,100126L,VAT,2023,193.64,DD
50000176,2025-02-09,0,100126L,VAT,2024,3983.56,PORTAL
50000177,2025-10-15,0,100126L,VAT,2025,2155.18,COUNTER
50000178,2022-08-18,0,100133A,CIT,2022,10.64,BANK
50000179,2023-06-28,0,100133A,CIT,2023,80.77,BANK
50000180,2024-08-17,0,100133A,CIT,2024,6.57,COUNTER
50000181,2025-08-16,0,100133A,CIT,2025,301.33,PORTAL
50000182,2023-06-18,0,100133A,SSC,2023,123.22,PORTAL
50000183,2025-01-26,0,100133A,SSC,2024,130.86,COUNTER
50000184,2025-06-14,0,100133A,SSC,2025,143.03,DD
50000185,2023-06-27,0,100133A,VAT,2023,36.83,DD
50000186,2025-01-10,0,100133A,VAT,2024,7.93,COUNTER
50000187,2025-12-23,0,100133A,VAT,2025,109.51,DD
50000188,2020-04-04,0,100144G,FSS,2020,1172.17,PORTAL
50000189,2022-01-13,8,100144G,FSS,2021,1314.71,BANK
50000190,2023-01-09,0,100144G,FSS,2022,967.88,COUNTER
50000191,2023-05-31,0,100144G,FSS,2023,1471.75,PORTAL
50000192,2024-05-30,0,100144G,FSS,2024,2311.95,DD
50000193,2025-12-06,0,100144G,FSS,2025,3337.58,BANK
50000194,2023-07-30,0,100144G,VAT,2023,1106.7,PORTAL
50000195,2024-03-06,0,100144G,VAT,2024,3432.14,DD
50000196,2025-10-04,0,100144G,VAT,2025,7677.6,DD
50000197,2022-01-24,0,100147L,FSS,2021,281.66,DD
50000198,2022-04-11,0,100147L,FSS,2022,1202.42,PORTAL
50000199,2023-10-03,0,100147L,FSS,2023,2294.97,DD
50000200,2024-06-03,0,100147L,FSS,2024,1784.9,BANK
50000201,2025-03-11,0,100147L,FSS,2025,6401.3,DD
50000202,2023-07-24,0,100147L,VAT,2023,2521.91,PORTAL
50000203,2024-05-06,0,100147L,VAT,2024,2128.71,DD
50000204,2025-08-13,0,100147L,VAT,2025,817.33,PORTAL
50000205,2022-04-11,0,100157B,FSS,2022,646.26,COUNTER
50000206,2024-01-10,0,100157B,FSS,2023,1115.12,COUNTER
50000207,2024-02-27,0,100157B,FSS,2024,1349.96,COUNTER
50000208,2025-11-03,0,100157B,FSS,2025,5726.97,BANK
50000209,2023-01-07,0,100162M,SSC,2022,323.83,COUNTER
50000210,2023-03-26,0,100162M,SSC,2023,1476.58,PORTAL
50000211,2024-08-12,0,100162M,SSC,2024,4426.34,PORTAL
50000212,2025-04-02,0,100162M,SSC,2025,970.63,DD
50000213,2021-08-02,0,100162M,SA,2021,672.25,COUNTER
50000214,2022-08-26,0,100162M,SA,2022,352.38,DD
50000215,2023-07-21,0,100162M,SA,2023,246.25,COUNTER
50000216,2024-07-13,0,100162M,SA,2024,1681.3,COUNTER
50000217,2025-06-30,0,100162M,SA,2025,3064.72,DD
50000218,2024-02-05,0,100168L,FSS,2023,545.49,BANK
50000219,2024-09-04,0,100168L,FSS,2024,1267.86,BANK
50000220,2025-08-31,8,100168L,FSS,2025,7268.73,DD
50000221,2022-09-19,0,100168L,SSC,2022,860.87,COUNTER
50000222,2023-04-29,0,100168L,SSC,2023,2538.29,DD
50000223,2025-02-01,0,100168L,SSC,2024,3704.59,DD
50000224,2026-01-15,0,100168L,SSC,2025,1248.69,PORTAL
50000225,2021-06-11,0,100168L,CIT,2021,1589.7,COUNTER
50000226,2022-07-22,0,100168L,CIT,2022,1107.12,BANK
50000227,2023-08-29,0,100168L,CIT,2023,2162.75,DD
50000228,2024-07-28,0,100168L,CIT,2024,2161.74,DD
50000229,2025-08-24,0,100168L,CIT,2025,4142.14,BANK
50000230,2024-01-28,0,100178B,SSC,2023,1319.22,BANK
50000231,2024-10-31,0,100178B,SSC,2024,1597.52,DD
50000232,2025-07-17,0,100178B,SSC,2025,3676.7,BANK
50000233,2021-06-21,0,100178B,CIT,2021,239.46,PORTAL
50000234,2022-07-21,0,100178B,CIT,2022,1243.72,BANK
50000235,2023-08-11,0,100178B,CIT,2023,857.06,COUNTER
50000236,2024-08-24,0,100178B,CIT,2024,2790.95,BANK
50000237,2025-08-23,0,100178B,CIT,2025,7812.75,PORTAL
50000238,2020-07-19,0,100183L,CIT,2020,8.96,COUNTER
50000239,2021-08-19,0,100183L,CIT,2021,48.73,DD
50000240,2022-06-11,0,100183L,CIT,2022,77.48,BANK
50000241,2023-07-06,0,100183L,CIT,2023,121.56,COUNTER
50000242,2024-08-14,0,100183L,CIT,2024,217.65,COUNTER
50000243,2025-07-21,0,100183L,CIT,2025,260.22,DD
50000244,2023-02-26,0,100183L,VAT,2023,52.06,COUNTER
50000245,2024-03-18,0,100183L,VAT,2024,160.78,COUNTER
50000246,2025-03-13,0,100183L,VAT,2025,209.5,DD
50000247,2023-06-29,0,100192M,VAT,2023,2050.31,PORTAL
50000248,2024-07-16,0,100192M,VAT,2024,240.28,COUNTER
50000249,2025-06-23,0,100192M,VAT,2025,4944.4,COUNTER
50000250,2021-03-09,0,100192M,SSC,2021,20.72,PORTAL
50000251,2022-09-24,0,100192M,SSC,2022,307.14,COUNTER
50000252,2023-10-01,0,100192M,SSC,2023,1506.31,COUNTER
50000253,2024-10-11,0,100192M,SSC,2024,2662.03,PORTAL
50000254,2025-04-23,0,100192M,SSC,2025,5912.91,PORTAL
50000255,2023-08-20,0,100192M,CIT,2023,273.53,BANK
50000256,2024-06-28,0,100192M,CIT,2024,2635.9,DD
50000257,2025-08-15,0,100192M,CIT,2025,4133.11,BANK
50000258,2021-07-23,0,100196L,SSC,2021,1279.78,DD
50000259,2022-05-02,0,100196L,SSC,2022,404.58,PORTAL
50000260,2023-12-30,0,100196L,SSC,2023,1208.76,COUNTER
50000261,2024-07-18,0,100196L,SSC,2024,677.77,BANK
50000262,2025-09-08,0,100196L,SSC,2025,2207.18,DD
50000263,2022-05-01,0,100204G,VAT,2022,1135.13,COUNTER
50000264,2023-07-31,0,100204G,VAT,2023,1453.97,PORTAL
50000265,2025-01-24,0,100204G,VAT,2024,2371.68,BANK
50000266,2025-10-28,0,100204G,VAT,2025,1867.94,DD
50000267,2020-08-10,8,100204G,CIT,2020,173.67,COUNTER
50000268,2021-08-14,0,100204G,CIT,2021,1450.17,DD
50000269,2022-06-25,0,100204G,CIT,2022,1020.91,DD
50000270,2023-07-04,0,100204G,CIT,2023,1896.8,PORTAL
50000271,2024-08-22,0,100204G,CIT,2024,805.17,DD
50000272,2025-08-19,0,100204G,CIT,2025,441.69,DD
50000273,2022-04-06,8,100204G,FSS,2022,551.71,DD
50000274,2023-07-23,0,100204G,FSS,2023,1287.14,PORTAL
50000275,2024-05-27,0,100204G,FSS,2024,1717.14,COUNTER
50000276,2025-03-10,0,100204G,FSS,2025,2129.89,PORTAL
50000277,2021-06-16,0,100204G,CIT,2021,175.62,BANK
50000278,2022-07-19,0,100204G,CIT,2022,1342.55,COUNTER
50000279,2023-08-13,0,100204G,CIT,2023,604.49,DD
50000280,2024-07-13,0,100204G,CIT,2024,2033.0,PORTAL
50000281,2025-06-20,0,100204G,CIT,2025,7889.7,DD
50000282,2023-12-02,0,100212M,VAT,2023,513.33,PORTAL
50000283,2025-02-11,0,100212M,VAT,2024,9536.63,DD
50000284,2025-07-30,0,100212M,VAT,2025,2896.72,BANK
50000285,2021-06-30,0,100212M,SA,2021,4593.72,COUNTER
50000286,2022-08-19,0,100212M,SA,2022,4773.14,PORTAL
50000287,2023-08-12,8,100212M,SA,2023,5714.0,COUNTER
50000288,2024-08-17,0,100212M,SA,2024,8251.65,COUNTER
50000289,2025-08-06,8,100212M,SA,2025,7607.24,BANK
50000290,2021-11-28,0,100217H,FSS,2021,474.05,DD
50000291,2022-08-04,0,100217H,FSS,2022,612.46,COUNTER
50000292,2023-07-08,0,100217H,FSS,2023,1863.11,COUNTER
50000293,2024-05-07,0,100217H,FSS,2024,3899.16,BANK
50000294,2025-04-20,0,100217H,FSS,2025,2241.39,BANK
50000295,2020-07-01,0,100228G,VAT,2020,90.35,DD
50000296,2021-08-31,0,100228G,VAT,2021,598.79,DD
50000297,2023-01-11,0,100228G,VAT,2022,1654.17,DD
50000298,2023-02-24,0,100228G,VAT,2023,1462.23,BANK
50000299,2024-05-12,0,100228G,VAT,2024,581.2,PORTAL
50000300,2025-10-28,0,100228G,VAT,2025,572.64,DD
50000301,2020-08-05,0,100232A,CIT,2020,1.19,BANK
50000302,2021-07-29,0,100232A,CIT,2021,2.32,BANK
50000303,2022-07-09,0,100232A,CIT,2022,4.39,PORTAL
50000304,2023-07-26,0,100232A,CIT,2023,2.71,BANK
50000305,2024-08-19,0,100232A,CIT,2024,2.2,COUNTER
50000306,2025-07-23,0,100232A,CIT,2025,10.92,PORTAL
50000307,2021-06-01,0,100232A,SSC,2021,0.87,COUNTER
50000308,2022-09-24,0,100232A,SSC,2022,3.35,DD
50000309,2023-04-06,0,100232A,SSC,2023,14.56,DD
50000310,2024-09-10,0,100232A,SSC,2024,1.53,BANK
50000311,2025-11-29,0,100232A,SSC,2025,18.14,COUNTER
50000312,2023-11-14,0,100238A,VAT,2023,2.7,BANK
50000313,2024-08-30,0,100238A,VAT,2024,3.99,COUNTER
50000314,2025-08-28,0,100238A,VAT,2025,9.8,PORTAL
50000315,2022-03-02,0,100238A,SSC,2022,1.5,COUNTER
50000316,2023-04-12,0,100238A,SSC,2023,2.66,COUNTER
50000317,2024-12-02,0,100238A,SSC,2024,1.12,BANK
50000318,2025-08-27,0,100238A,SSC,2025,2.18,BANK
50000319,2022-11-06,0,100246A,VAT,2022,1661.79,BANK
50000320,2023-06-06,0,100246A,VAT,2023,764.73,BANK
50000321,2024-03-14,0,100246A,VAT,2024,824.23,COUNTER
50000322,2026-02-10,0,100246A,VAT,2025,396.32,PORTAL
50000323,2020-09-26,0,100255A,FSS,2020,621.21,BANK
50000324,2021-12-11,0,100255A,FSS,2021,1162.44,COUNTER
50000325,2022-08-31,0,100255A,FSS,2022,1644.86,BANK
50000326,2023-03-22,0,100255A,FSS,2023,2203.66,COUNTER
50000327,2025-01-07,0,100255A,FSS,2024,2321.67,DD
50000328,2025-08-28,0,100255A,FSS,2025,3616.7,COUNTER
50000329,2021-12-29,0,100255A,VAT,2021,830.2,BANK
50000330,2022-04-24,0,100255A,VAT,2022,94.5,PORTAL
50000331,2023-05-01,0,100255A,VAT,2023,435.08,DD
50000332,2024-03-25,0,100255A,VAT,2024,2533.93,PORTAL
50000333,2025-12-14,0,100255A,VAT,2025,2369.51,COUNTER
50000334,2024-02-09,0,100262G,VAT,2023,929.81,COUNTER
50000335,2024-06-22,0,100262G,VAT,2024,1266.18,PORTAL
50000336,2025-11-09,0,100262G,VAT,2025,5951.94,BANK
50000337,2021-06-19,0,100262G,CIT,2021,255.74,DD
50000338,2022-06-25,0,100262G,CIT,2022,484.63,COUNTER
50000339,2023-06-27,0,100262G,CIT,2023,1725.77,COUNTER
50000340,2024-07-03,0,100262G,CIT,2024,5775.96,DD
50000341,2025-06-11,0,100262G,CIT,2025,3834.43,DD
50000342,2022-08-30,0,100267M,SSC,2022,2241.98,COUNTER
50000343,2024-01-13,0,100267M,SSC,2023,1885.34,PORTAL
50000344,2024-11-26,0,100267M,SSC,2024,1748.35,BANK
50000345,2025-10-16,0,100267M,SSC,2025,1312.07,DD
50000346,2020-10-26,0,100273M,SSC,2020,197.55,BANK
50000347,2021-06-29,0,100273M,SSC,2021,60.35,BANK
50000348,2022-09-14,0,100273M,SSC,2022,950.12,BANK
50000349,2023-09-06,0,100273M,SSC,2023,1754.53,BANK
50000350,2024-10-02,0,100273M,SSC,2024,1273.67,DD
50000351,2025-04-13,0,100273M,SSC,2025,253.01,DD
50000352,2021-07-26,0,100273M,SA,2021,190.93,BANK
50000353,2022-06-10,0,100273M,SA,2022,560.47,COUNTER
50000354,2023-06-20,0,100273M,SA,2023,821.95,DD
50000355,2024-07-27,0,100273M,SA,2024,2564.4,COUNTER
50000356,2025-06-11,0,100273M,SA,2025,4298.65,BANK
50000357,2022-04-17,8,100284A,SSC,2022,1328.1,COUNTER
50000358,2023-10-24,0,100284A,SSC,2023,1003.13,BANK
50000359,2024-05-04,0,100284A,SSC,2024,1359.77,COUNTER
50000360,2025-12-08,0,100284A,SSC,2025,3319.04,DD
50000361,2022-08-13,0,100284A,FSS,2022,322.08,BANK
50000362,2023-04-29,0,100284A,FSS,2023,1234.8,BANK
50000363,2024-05-09,0,100284A,FSS,2024,5373.71,PORTAL
50000364,2025-12-25,0,100284A,FSS,2025,6032.52,PORTAL
50000365,2021-07-05,0,100288A,SSC,2021,885.71,BANK
50000366,2022-09-13,0,100288A,SSC,2022,1520.58,BANK
50000367,2024-01-09,0,100288A,SSC,2023,422.28,COUNTER
50000368,2024-05-09,0,100288A,SSC,2024,676.37,COUNTER
50000369,2025-07-06,0,100288A,SSC,2025,184.99,DD
50000370,2021-10-26,0,100288A,FSS,2021,153.57,DD
50000371,2022-03-27,0,100288A,FSS,2022,539.2,COUNTER
50000372,2023-06-23,0,100288A,FSS,2023,54.21,PORTAL
50000373,2024-04-05,0,100288A,FSS,2024,803.88,DD
50000374,2025-06-15,0,100288A,FSS,2025,497.62,COUNTER
50000375,2022-07-21,0,100288A,CIT,2022,915.62,PORTAL
50000376,2023-06-21,0,100288A,CIT,2023,49.47,COUNTER
50000377,2024-06-28,0,100288A,CIT,2024,1247.51,PORTAL
50000378,2025-06-16,0,100288A,CIT,2025,3634.21,PORTAL
50000379,2021-08-07,0,100288A,CIT,2021,783.82,PORTAL
50000380,2022-06-15,0,100288A,CIT,2022,47.48,COUNTER
50000381,2023-08-18,0,100288A,CIT,2023,118.76,COUNTER
50000382,2024-06-22,0,100288A,CIT,2024,1513.92,COUNTER
50000383,2025-08-03,0,100288A,CIT,2025,153.51,PORTAL
50000384,2023-07-24,0,100296B,SA,2023,15.2,DD
50000385,2024-07-23,0,100296B,SA,2024,31.37,DD
50000386,2025-07-13,0,100296B,SA,2025,20.62,COUNTER
50000387,2022-12-23,0,100296B,VAT,2022,123.42,DD
50000388,2023-08-14,8,100296B,VAT,2023,55.23,DD
50000389,2024-12-08,0,100296B,VAT,2024,6.46,PORTAL
50000390,2025-10-25,8,100296B,VAT,2025,304.3,PORTAL
50000391,2023-03-26,0,100304L,SSC,2023,2128.2,PORTAL
50000392,2024-09-10,0,100304L,SSC,2024,141.27,COUNTER
50000393,2025-09-30,0,100304L,SSC,2025,2632.15,DD
50000394,2023-07-15,0,100304L,SA,2023,1188.58,COUNTER
50000395,2024-07-01,0,100304L,SA,2024,2049.58,PORTAL
50000396,2025-06-19,0,100304L,SA,2025,2857.37,DD
50000397,2020-10-27,0,100310H,VAT,2020,1115.3,PORTAL
50000398,2021-03-03,0,100310H,VAT,2021,42.98,PORTAL
50000399,2022-11-25,0,100310H,VAT,2022,791.35,BANK
50000400,2023-05-01,0,100310H,VAT,2023,1877.55,COUNTER
50000401,2024-07-17,0,100310H,VAT,2024,379.8,PORTAL
50000402,2026-01-02,0,100310H,VAT,2025,2758.09,DD
50000403,2021-10-03,0,100310H,SSC,2021,1371.93,DD
50000404,2022-07-28,0,100310H,SSC,2022,1464.66,COUNTER
50000405,2023-06-09,0,100310H,SSC,2023,1068.71,PORTAL
50000406,2024-11-02,0,100310H,SSC,2024,3088.58,COUNTER
50000407,2025-08-04,0,100310H,SSC,2025,787.74,COUNTER
50000408,2022-01-24,0,100317L,VAT,2021,3.63,COUNTER
50000409,2022-09-05,0,100317L,VAT,2022,3.09,BANK
50000410,2024-02-12,0,100317L,VAT,2023,10.13,COUNTER
50000411,2024-09-28,0,100317L,VAT,2024,4.14,DD
50000412,2026-01-20,0,100317L,VAT,2025,13.16,PORTAL
50000413,2022-09-18,0,100326G,VAT,2022,1597.4,DD
50000414,2023-07-20,0,100326G,VAT,2023,634.9,BANK
50000415,2024-05-30,0,100326G,VAT,2024,3440.29,PORTAL
50000416,2025-04-05,0,100326G,VAT,2025,4912.35,COUNTER
50000417,2020-03-19,0,100326G,FSS,2020,932.83,COUNTER
50000418,2021-07-24,0,100326G,FSS,2021,946.72,BANK
50000419,2022-04-21,0,100326G,FSS,2022,1575.57,COUNTER
