tin,tax_type,yofa,period,trcd,sbcd,amount,txn_date,source_ref
100036G,SSC,2020,2020,10,,748.42,2020-02-14,A00000062
100036G,SSC,2020,2020,20,G,-748.42,2020-03-07,R50000059
100036G,SSC,2021,2021,10,,1510.08,2021-05-16,A00000063
100036G,SSC,2021,2021,20,G,-1510.08,2021-07-04,R50000060
100036G,SSC,2022,2022,10,,1430.86,2022-05-16,A00000064
100036G,SSC,2022,2022,20,G,-1430.86,2022-06-08,R50000061
100036G,SSC,2023,2023,10,,150.46,2023-05-16,A00000065
100036G,SSC,2023,2023,20,G,-150.46,2023-07-25,R50000062
100036G,SSC,2024,2024,10,,1407.05,2024-11-15,A00000066
100036G,SSC,2024,2024,20,G,-1407.05,2024-12-27,R50000063
100036G,SSC,2025,2025,10,,6727.79,2025-11-15,A00000067
100036G,SSC,2025,2025,20,G,-6727.79,2025-12-12,R50000064
100045G,SSC,2022,2022,10,,1962.54,2022-08-16,A00000068
100045G,SSC,2022,2022,20,G,-1962.54,2022-10-27,R50000065
100045G,SSC,2023,2023,10,,981.54,2023-05-16,A00000069
100045G,SSC,2023,2023,20,G,-981.54,2023-06-27,R50000066
100045G,SSC,2024,2024,230,,2540.64,2024-05-16,A00000070
100045G,SSC,2024,2024,20,G,-2540.64,2024-06-25,R50000067
100045G,SSC,2025,2025,10,,4158.08,2025-08-16,A00000071
100045G,SSC,2025,2025,20,G,-4158.08,2025-10-27,R50000068
100052B,PIT,2022,2022,230,,1584.28,2022-05-31,A00000072
100052B,PIT,2022,2022,20,G,-1584.28,2022-07-14,R50000069
100052B,PIT,2023,2023,10,,370.37,2023-05-31,A00000073
100052B,PIT,2023,2023,20,G,-370.37,2023-06-16,R50000070
100052B,PIT,2024,2024,10,,1684.97,2024-05-31,A00000074
100052B,PIT,2024,2024,20,G,-1684.97,2024-08-18,R50000071
100052B,PIT,2025,2025,10,,1845.4,2025-05-31,A00000075
100052B,PIT,2025,2025,20,G,-1845.4,2025-08-18,R50000072
100058G,SSC,2021,2021,10,,158.53,2021-11-15,A00000076
100058G,SSC,2021,2021,70,,21.27,2022-01-24,PEN
100058G,SSC,2021,2021,60,,51.36,2026-06-01,RST
100058G,SSC,2021,2021,20,G,-78.67,2022-01-27,R50000073
100058G,SSC,2022,2022,10,,129.85,2022-11-15,A00000077
100058G,SSC,2022,2022,70,,11.21,2023-01-24,PEN
100058G,SSC,2022,2022,60,,32.72,2026-06-01,RST
100058G,SSC,2022,2022,20,G,-30.06,2023-01-20,R50000074
100058G,SSC,2023,2023,10,,51.75,2023-05-16,A00000078
100058G,SSC,2023,2023,70,,3.0,2023-07-25,PEN
100058G,SSC,2023,2023,60,,11.18,2026-06-01,RST
100058G,SSC,2023,2023,20,G,-24.15,2023-06-15,R50000075
100058G,SSC,2024,2024,10,,302.85,2024-11-15,A00000079
100058G,SSC,2024,2024,70,,44.55,2025-01-24,PEN
100058G,SSC,2024,2024,60,,32.71,2026-06-01,RST
100058G,SSC,2024,2024,20,G,-207.53,2024-12-29,R50000076
100058G,SSC,2025,2025,10,,406.61,2025-11-15,A00000080
100058G,SSC,2025,2025,20,G,-148.87,2025-12-12,R50000077
100066A,VAT,2022,2022,10,,611.1,2022-02-13,A00000081
100066A,VAT,2022,2022,20,G,-611.1,2022-03-03,R50000078
100066A,VAT,2023,2023,10,,1519.53,2023-11-15,A00000082
100066A,VAT,2023,2023,20,G,-1519.53,2024-02-11,R50000079
100066A,VAT,2024,2024,10,,654.76,2024-02-14,A00000083
100066A,VAT,2024,2024,20,G,-654.76,2024-03-08,R50000080
100066A,VAT,2025,2025,10,,4324.66,2025-02-13,A00000084
100066A,VAT,2025,2025,20,G,-4324.66,2025-03-04,R50000081
100066A,PIT,2022,2022,10,,1441.54,2022-05-31,A00000085
100066A,PIT,2022,2022,20,G,-1441.54,2022-08-09,R50000082
100066A,PIT,2023,2023,10,,1851.53,2023-05-31,A00000086
100066A,PIT,2023,2023,20,G,-1851.53,2023-08-14,R50000083
100066A,PIT,2024,2024,10,,1704.53,2024-05-31,A00000087
100066A,PIT,2024,2024,20,G,-1704.53,2024-08-25,R50000084
100066A,PIT,2025,2025,10,,6173.42,2025-05-31,A00000088
100066A,PIT,2025,2025,20,G,-6173.42,2025-08-24,R50000085
100071A,SSC,2022,2022,10,,1214.38,2022-02-13,A00000089
100071A,SSC,2022,2022,20,G,-1214.38,2022-05-06,R50000086
100071A,SSC,2023,2023,10,,1577.95,2023-11-15,A00000090
100071A,SSC,2023,2023,20,G,-1577.95,2024-01-15,R50000087
100071A,SSC,2024,2024,10,,3230.53,2024-02-14,A00000091
100071A,SSC,2024,2024,20,G,-3230.53,2024-03-26,R50000088
100071A,SSC,2025,2025,10,,6038.92,2025-08-16,A00000092
100071A,SSC,2025,2025,20,G,-6038.92,2025-10-12,R50000089
100071A,PIT,2020,2020,10,,304.43,2020-05-31,A00000093
100071A,PIT,2020,2020,20,G,-304.43,2020-08-20,R50000090
100071A,PIT,2021,2021,10,,888.53,2021-05-31,A00000094
100071A,PIT,2021,2021,20,G,-888.53,2021-08-08,R50000091
100071A,PIT,2022,2022,10,,1915.02,2022-05-31,A00000095
100071A,PIT,2022,2022,20,G,-1915.02,2022-07-04,R50000092
100071A,PIT,2023,2023,10,,157.14,2023-05-31,A00000096
100071A,PIT,2023,2023,20,G,-157.14,2023-06-18,R50000093
100071A,PIT,2024,2024,10,,1183.26,2024-05-31,A00000097
100071A,PIT,2024,2024,20,G,-1183.26,2024-08-09,R50000094
100071A,PIT,2025,2025,10,,7096.33,2025-05-31,A00000098
100071A,PIT,2025,2025,20,G,-7096.33,2025-07-01,R50000095
100077B,SSC,2021,2021,10,,2.09,2021-08-16,A00000099
100077B,SSC,2021,2021,70,,0.31,2021-10-25,PEN
100077B,SSC,2021,2021,60,,0.71,2026-06-01,RST
100077B,SSC,2021,2021,20,G,-0.73,2021-08-28,R50000096
100077B,SSC,2022,2022,10,,6.89,2022-05-16,A00000100
100077B,SSC,2022,2022,60,,1.98,2026-06-01,RST
100077B,SSC,2022,2022,20,G,-3.58,2022-07-06,R50000097
100077B,SSC,2023,2023,10,,2.73,2023-02-13,A00000101
100077B,SSC,2023,2023,60,,0.64,2026-06-01,RST
100077B,SSC,2023,2023,20,G,-0.86,2023-05-06,R50000098
100077B,SSC,2024,2024,10,,3.46,2024-02-14,A00000102
100077B,SSC,2024,2024,70,,0.26,2024-04-24,PEN
100077B,SSC,2024,2024,60,,0.56,2026-06-01,RST
100077B,SSC,2024,2024,20,G,-0.64,2024-04-02,R50000099
100077B,SSC,2025,2025,10,,12.06,2025-02-13,A00000103
100077B,SSC,2025,2025,70,,1.49,2025-04-24,PEN
100077B,SSC,2025,2025,60,,1.09,2026-06-01,RST
100077B,SSC,2025,2025,20,G,-4.82,2025-03-26,R50000100
100077B,CIT,2023,2023,10,,2.53,2023-05-31,A00000104
100077B,CIT,2023,2023,70,,0.21,2023-08-09,PEN
100077B,CIT,2023,2023,60,,0.53,2026-06-01,RST
100077B,CIT,2024,2024,10,,7.61,2024-05-31,A00000105
100077B,CIT,2024,2024,70,,0.86,2024-08-09,PEN
100077B,CIT,2024,2024,60,,1.05,2026-06-01,RST
100077B,CIT,2024,2024,20,G,-3.35,2024-06-22,R50000101
100077B,CIT,2025,2025,10,,15.21,2025-05-31,A00000106
100077B,CIT,2025,2025,70,,1.18,2025-08-09,PEN
100077B,CIT,2025,2025,60,,1.0,2026-06-01,RST
100077B,CIT,2025,2025,20,G,-6.08,2025-07-18,R50000102
100086G,VAT,2023,2023,10,,1003.11,2023-11-15,A00000107
100086G,VAT,2023,2023,70,,105.23,2024-01-24,PEN
100086G,VAT,2023,2023,20,G,-404.92,2024-01-12,R50000103
100086G,VAT,2024,2024,10,,7844.49,2024-05-16,A00000108
100086G,VAT,2024,2024,70,,421.6,2024-07-25,PEN
100086G,VAT,2024,2024,60,,1129.61,2026-06-01,RST
100086G,VAT,2024,2024,20,G,-1149.55,2024-06-16,R50000104
100086G,VAT,2025,2025,10,,8451.06,2025-11-15,A00000109
100086G,VAT,2025,2025,70,,939.62,2026-01-24,PEN
100086G,VAT,2025,2025,60,,253.53,2026-06-01,RST
100086G,VAT,2025,2025,20,G,-3380.42,2026-01-29,R50000105
100086G,CIT,2023,2023,10,,1561.42,2023-05-31,A00000110
100086G,CIT,2023,2023,20,G,-1109.82,2023-08-14,R50000106
100086G,CIT,2024,2024,10,,7552.44,2024-05-31,A00000111
100086G,CIT,2024,2024,70,,544.19,2024-08-09,PEN
100086G,CIT,2024,2024,60,,1042.24,2026-06-01,RST
100086G,CIT,2024,2024,20,G,-2431.48,2024-08-28,R50000107
100086G,CIT,2025,2025,10,,15491.22,2025-05-31,A00000112
100086G,CIT,2025,2025,70,,1359.99,2025-08-09,PEN
100086G,CIT,2025,2025,20,G,-6196.49,2025-06-13,R50000108
100086G,CIT,2021,2021,10,,1847.42,2021-05-31,A00000113
100086G,CIT,2021,2021,60,,665.07,2026-06-01,RST
100086G,CIT,2021,2021,20,G,-710.86,2021-07-27,R50000109
100086G,CIT,2022,2022,10,,4421.9,2022-05-31,A00000114
100086G,CIT,2022,2022,70,,423.34,2022-08-09,PEN
100086G,CIT,2022,2022,60,,1273.51,2026-06-01,RST
100086G,CIT,2022,2022,20,G,-1711.04,2022-08-29,R50000110
100086G,CIT,2023,2023,10,,2108.19,2023-05-31,A00000115
100086G,CIT,2023,2023,70,,119.39,2023-08-09,PEN
100086G,CIT,2023,2023,60,,442.72,2026-06-01,RST
100086G,CIT,2023,2023,20,G,-238.25,2023-08-29,R50000111
100086G,CIT,2024,2024,10,,7509.9,2024-05-31,A00000116
100086G,CIT,2024,2024,20,G,-1920.0,2024-07-03,R50000112
100086G,CIT,2025,2025,10,,4871.17,2025-05-31,A00000117
100086G,CIT,2025,2025,20,G,-1948.47,2025-08-19,R50000113
100086G,SSC,2021,2021,10,,473.61,2021-11-15,A00000118
100086G,SSC,2021,2021,60,,153.45,2026-06-01,RST
100086G,SSC,2021,2021,20,G,-176.85,2022-01-21,R50000114
100086G,SSC,2022,2022,10,,4490.12,2022-11-15,A00000119
100086G,SSC,2022,2022,70,,339.34,2023-01-24,PEN
100086G,SSC,2022,2022,60,,1131.51,2026-06-01,RST
100086G,SSC,2022,2022,20,G,-835.41,2022-12-08,R50000115
100086G,SSC,2023,2023,10,,329.54,2023-08-16,A00000120
100086G,SSC,2023,2023,70,,42.89,2023-10-25,PEN
100086G,SSC,2023,2023,60,,65.25,2026-06-01,RST
100086G,SSC,2023,2023,20,G,-171.74,2023-10-11,R50000116
100086G,SSC,2024,2024,10,,3930.23,2024-08-16,A00000121
100086G,SSC,2024,2024,70,,533.66,2024-10-25,PEN
100086G,SSC,2024,2024,20,G,-916.06,2024-11-11,R50000117
100086G,SSC,2025,2025,10,,5152.61,2025-08-16,A00000122
100086G,SSC,2025,2025,70,,407.13,2025-10-25,PEN
100086G,SSC,2025,2025,60,,247.33,2026-06-01,RST
100086G,SSC,2025,2025,20,G,-2061.04,2025-09-21,R50000118
100091L,FSS,2022,2022,10,,15686.32,2022-08-16,A00000123
100091L,FSS,2022,2022,60,,4235.31,2026-06-01,RST
100091L,FSS,2022,2022,20,G,-117.89,2022-10-17,R50000119
100091L,FSS,2023,2023,10,,74699.33,2023-02-13,A00000124
100091L,FSS,2023,2023,70,,6206.46,2023-04-24,PEN
100091L,FSS,2023,2023,60,,17479.64,2026-06-01,RST
100091L,FSS,2023,2023,20,G,-16809.16,2023-03-27,R50000120
100091L,FSS,2024,2024,10,,35478.62,2024-02-14,A00000125
100091L,FSS,2024,2024,20,G,-25571.23,2024-05-03,R50000121
100091L,FSS,2025,2025,10,,114926.53,2025-11-15,A00000126
100091L,FSS,2025,2025,70,,13730.83,2026-01-24,PEN
100091L,FSS,2025,2025,60,,3447.8,2026-06-01,RST
100091L,FSS,2025,2025,20,G,-9041.56,2025-12-04,R50000122
100091L,VAT,2020,2020,230,,14336.04,2020-02-14,A00000127
100091L,VAT,2020,2020,60,,6451.22,2026-06-01,RST
100091L,VAT,2020,2020,20,G,-3989.08,2020-04-20,R50000123
100091L,VAT,2021,2021,10,,27756.83,2021-05-16,A00000128
100091L,VAT,2021,2021,70,,3374.87,2021-07-25,PEN
100091L,VAT,2021,2021,60,,9992.46,2026-06-01,RST
100091L,VAT,2021,2021,20,G,-20102.8,2021-07-17,R50000124
100091L,VAT,2022,2022,10,,45190.12,2022-02-13,A00000129
100091L,VAT,2022,2022,70,,5788.5,2022-04-24,PEN
100091L,VAT,2022,2022,60,,13828.18,2026-06-01,RST
100091L,VAT,2022,2022,20,G,-14565.4,2022-03-29,R50000125
100091L,VAT,2023,2023,10,,53178.02,2023-08-16,A00000130
100091L,VAT,2023,2023,70,,6920.23,2023-10-25,PEN
100091L,VAT,2023,2023,60,,10529.25,2026-06-01,RST
100091L,VAT,2023,2023,20,G,-35358.63,2023-09-19,R50000126
100091L,VAT,2024,2024,230,,64143.89,2024-02-14,A00000131
100091L,VAT,2024,2024,70,,4980.45,2024-04-24,PEN
100091L,VAT,2024,2024,60,,10391.31,2026-06-01,RST
100091L,VAT,2024,2024,20,G,-16365.48,2024-03-06,R50000127
100091L,VAT,2025,2025,10,,216584.89,2025-05-16,A00000132
100091L,VAT,2025,2025,70,,18360.36,2025-07-25,PEN
100091L,VAT,2025,2025,60,,15594.11,2026-06-01,RST
100091L,VAT,2025,2025,20,G,-22365.0,2025-06-14,R50000128
100091L,SSC,2020,2020,10,,22360.94,2020-11-15,A00000133
100091L,SSC,2020,2020,70,,1537.68,2021-01-24,PEN
100091L,SSC,2020,2020,60,,8854.93,2026-06-01,RST
100091L,SSC,2020,2020,20,G,-6031.25,2020-12-03,R50000129
100091L,SSC,2021,2021,10,,35682.01,2021-02-13,A00000134
100091L,SSC,2021,2021,60,,13487.8,2026-06-01,RST
100091L,SSC,2021,2021,20,G,-25035.67,2021-03-30,R50000130
100091L,SSC,2022,2022,10,,58564.79,2022-11-15,A00000135
100091L,SSC,2022,2022,70,,7554.28,2023-01-24,PEN
100091L,SSC,2022,2022,20,G,-4539.54,2023-01-03,R50000131
100091L,SSC,2023,2023,10,,24549.97,2023-08-16,A00000136
100091L,SSC,2023,2023,70,,3539.42,2023-10-25,PEN
100091L,SSC,2023,2023,20,G,-871.94,2023-09-03,R50000132
100091L,SSC,2024,2024,10,,38557.29,2024-05-16,A00000137
100091L,SSC,2024,2024,60,,5552.25,2026-06-01,RST
100091L,SSC,2024,2024,20,G,-28468.95,2024-06-20,R50000133
100091L,SSC,2025,2025,10,,77818.19,2025-11-15,A00000138
100091L,SSC,2025,2025,70,,8097.85,2026-01-24,PEN
100091L,SSC,2025,2025,60,,2334.55,2026-06-01,RST
100091L,SSC,2025,2025,20,G,-2494.02,2026-02-06,R50000134
100091L,CIT,2023,2023,10,,23945.14,2023-05-31,A00000139
100091L,CIT,2023,2023,60,,5028.48,2026-06-01,RST
100091L,CIT,2023,2023,20,G,-16839.88,2023-08-20,R50000135
100091L,CIT,2024,2024,10,,105772.67,2024-05-31,A00000140
100091L,CIT,2024,2024,60,,14596.63,2026-06-01,RST
100091L,CIT,2024,2024,20,G,-70360.11,2024-06-12,R50000136
100091L,CIT,2025,2025,10,,182154.67,2025-05-31,A00000141
100091L,CIT,2025,2025,70,,21121.17,2025-08-09,PEN
100091L,CIT,2025,2025,60,,12022.21,2026-06-01,RST
100091L,CIT,2025,2025,20,G,-72861.87,2025-07-25,R50000137
100098M,VAT,2022,2022,10,,859.67,2022-11-15,A00000142
100098M,VAT,2022,2022,20,G,-859.67,2022-12-20,R50000138
100098M,VAT,2023,2023,10,,2269.94,2023-11-15,A00000143
100098M,VAT,2023,2023,20,G,-2269.94,2023-12-28,R50000139
100098M,VAT,2024,2024,10,,2939.59,2024-08-16,A00000144
100098M,VAT,2024,2024,20,G,-2939.59,2024-11-04,R50000140
100098M,VAT,2025,2025,10,,5943.5,2025-11-15,A00000145
100098M,VAT,2025,2025,20,G,-5943.5,2025-12-17,R50000141
100098M,CIT,2022,2022,10,,1253.94,2022-05-31,A00000146
100098M,CIT,2022,2022,20,G,-1253.94,2022-08-07,R50000142
100098M,CIT,2023,2023,10,,2283.43,2023-05-31,A00000147
100098M,CIT,2023,2023,20,G,-2283.43,2023-07-17,R50000143
100098M,CIT,2024,2024,10,,1139.73,2024-05-31,A00000148
100098M,CIT,2024,2024,20,G,-1139.73,2024-08-08,R50000144
100098M,CIT,2025,2025,10,,6110.5,2025-05-31,A00000149
100098M,CIT,2025,2025,20,G,-6110.5,2025-08-14,R50000145
100098M,FSS,2023,2023,10,,274.31,2023-08-16,A00000150
100098M,FSS,2023,2023,20,G,-274.31,2023-09-10,R50000146
100098M,FSS,2024,2024,10,,1026.22,2024-08-16,A00000151
100098M,FSS,2024,2024,20,G,-1026.22,2024-09-23,R50000147
100098M,FSS,2025,2025,10,,206.85,2025-05-16,A00000152
100098M,FSS,2025,2025,20,G,-206.85,2025-08-06,R50000148
100098M,SSC,2022,2022,10,,933.11,2022-02-13,A00000153
100098M,SSC,2022,2022,20,G,-933.11,2022-05-04,R50000149
100098M,SSC,2023,2023,10,,1080.46,2023-02-13,A00000154
100098M,SSC,2023,2023,20,G,-1080.46,2023-05-13,R50000150
100098M,SSC,2024,2024,10,,2967.61,2024-02-14,A00000155
100098M,SSC,2024,2024,20,G,-2967.61,2024-02-26,R50000151
100098M,SSC,2025,2025,10,,5047.73,2025-02-13,A00000156
100098M,SSC,2025,2025,20,G,-5047.73,2025-02-25,R50000152
100105A,CIT,2020,2020,230,,427.18,2020-05-31,A00000157
100105A,CIT,2020,2020,20,G,-427.18,2020-08-16,R50000153
100105A,CIT,2021,2021,230,,1436.32,2021-05-31,A00000158
100105A,CIT,2021,2021,20,G,-1436.32,2021-06-19,R50000154
100105A,CIT,2022,2022,10,,816.4,2022-05-31,A00000159
