assessment_id,tin,tax_type,yofa,period,kind,caution_flag,amount,due_date,assessed_at
A00000068,100045G,SSC,2022,2022,SELF,0,1962.54,2022-09-15,2022-08-16 09:00:00
A00000069,100045G,SSC,2023,2023,SELF,0,981.54,2023-06-15,2023-05-16 09:00:00
A00000070,100045G,SSC,2024,2024,DEFAULT,1,2540.64,2024-06-15,2024-05-16 09:00:00
A00000071,100045G,SSC,2025,2025,SELF,0,4158.08,2025-09-15,2025-08-16 09:00:00
A00000072,100052B,PIT,2022,2022,DEFAULT,1,1584.28,2022-06-30,2022-05-31 09:00:00
A00000073,100052B,PIT,2023,2023,SELF,0,370.37,2023-06-30,2023-05-31 09:00:00
A00000074,100052B,PIT,2024,2024,SELF,0,1684.97,2024-06-30,2024-05-31 09:00:00
A00000075,100052B,PIT,2025,2025,SELF,0,1845.4,2025-06-30,2025-05-31 09:00:00
A00000076,100058G,SSC,2021,2021,SELF,0,158.53,2021-12-15,2021-11-15 09:00:00
A00000077,100058G,SSC,2022,2022,AUTHORITY,0,129.85,2022-12-15,2022-11-15 09:00:00
A00000078,100058G,SSC,2023,2023,AUTHORITY,0,51.75,2023-06-15,2023-05-16 09:00:00
A00000079,100058G,SSC,2024,2024,SELF,0,302.85,2024-12-15,2024-11-15 09:00:00
A00000080,100058G,SSC,2025,2025,SELF,0,406.61,2025-12-15,2025-11-15 09:00:00
A00000081,100066A,VAT,2022,2022,SELF,0,611.1,2022-03-15,2022-02-13 09:00:00
A00000082,100066A,VAT,2023,2023,SELF,0,1519.53,2023-12-15,2023-11-15 09:00:00
A00000083,100066A,VAT,2024,2024,SELF,0,654.76,2024-03-15,2024-02-14 09:00:00
A00000084,100066A,VAT,2025,2025,SELF,0,4324.66,2025-03-15,2025-02-13 09:00:00
A00000085,100066A,PIT,2022,2022,SELF,0,1441.54,2022-06-30,2022-05-31 09:00:00
A00000086,100066A,PIT,2023,2023,SELF,0,1851.53,2023-06-30,2023-05-31 09:00:00
A00000087,100066A,PIT,2024,2024,SELF,0,1704.53,2024-06-30,2024-05-31 09:00:00
A00000088,100066A,PIT,2025,2025,SELF,0,6173.42,2025-06-30,2025-05-31 09:00:00
A00000089,100071A,SSC,2022,2022,SELF,0,1214.38,2022-03-15,2022-02-13 09:00:00
A00000090,100071A,SSC,2023,2023,SELF,0,1577.95,2023-12-15,2023-11-15 09:00:00
A00000091,100071A,SSC,2024,2024,SELF,0,3230.53,2024-03-15,2024-02-14 09:00:00
A00000092,100071A,SSC,2025,2025,SELF,0,6038.92,2025-09-15,2025-08-16 09:00:00
A00000093,100071A,PIT,2020,2020,AUTHORITY,0,304.43,2020-06-30,2020-05-31 09:00:00
A00000094,100071A,PIT,2021,2021,SELF,0,888.53,2021-06-30,2021-05-31 09:00:00
A00000095,100071A,PIT,2022,2022,AUTHORITY,0,1915.02,2022-06-30,2022-05-31 09:00:00
A00000096,100071A,PIT,2023,2023,SELF,0,157.14,2023-06-30,2023-05-31 09:00:00
A00000097,100071A,PIT,2024,2024,SELF,0,1183.26,2024-06-30,2024-05-31 09:00:00
A00000098,100071A,PIT,2025,2025,SELF,0,7096.33,2025-06-30,2025-05-31 09:00:00
A00000099,100077B,SSC,2021,2021,SELF,0,2.09,2021-09-15,2021-08-16 09:00:00
A00000100,100077B,SSC,2022,2022,SELF,0,6.89,2022-06-15,2022-05-16 09:00:00
A00000101,100077B,SSC,2023,2023,AUTHORITY,0,2.73,2023-03-15,2023-02-13 09:00:00
A00000102,100077B,SSC,2024,2024,SELF,0,3.46,2024-03-15,2024-02-14 09:00:00
A00000103,100077B,SSC,2025,2025,SELF,0,12.06,2025-03-15,2025-02-13 09:00:00
A00000104,100077B,CIT,2023,2023,SELF,0,2.53,2023-06-30,2023-05-31 09:00:00
A00000105,100077B,CIT,2024,2024,SELF,0,7.61,2024-06-30,2024-05-31 09:00:00
A00000106,100077B,CIT,2025,2025,SELF,0,15.21,2025-06-30,2025-05-31 09:00:00
A00000107,100086G,VAT,2023,2023,SELF,0,1003.11,2023-12-15,2023-11-15 09:00:00
A00000108,100086G,VAT,2024,2024,SELF,0,7844.49,2024-06-15,2024-05-16 09:00:00
A00000109,100086G,VAT,2025,2025,SELF,0,8451.06,2025-12-15,2025-11-15 09:00:00
A00000110,100086G,CIT,2023,2023,SELF,0,1561.42,2023-06-30,2023-05-31 09:00:00
A00000111,100086G,CIT,2024,2024,SELF,0,7552.44,2024-06-30,2024-05-31 09:00:00
A00000112,100086G,CIT,2025,2025,AUTHORITY,0,15491.22,2025-06-30,2025-05-31 09:00:00
A00000113,100086G,CIT,2021,2021,SELF,0,1847.42,2021-06-30,2021-05-31 09:00:00
A00000114,100086G,CIT,2022,2022,SELF,0,4421.9,2022-06-30,2022-05-31 09:00:00
A00000115,100086G,CIT,2023,2023,AUTHORITY,0,2108.19,2023-06-30,2023-05-31 09:00:00
A00000116,100086G,CIT,2024,2024,SELF,0,7509.9,2024-06-30,2024-05-31 09:00:00
A00000117,100086G,CIT,2025,2025,SELF,0,4871.17,2025-06-30,2025-05-31 09:00:00
A00000118,100086G,SSC,2021,2021,SELF,0,473.61,2021-12-15,2021-11-15 09:00:00
A00000119,100086G,SSC,2022,2022,SELF,0,4490.12,2022-12-15,2022-11-15 09:00:00
A00000120,100086G,SSC,2023,2023,SELF,0,329.54,2023-09-15,2023-08-16 09:00:00
A00000121,100086G,SSC,2024,2024,SELF,0,3930.23,2024-09-15,2024-08-16 09:00:00
A00000122,100086G,SSC,2025,2025,SELF,0,5152.61,2025-09-15,2025-08-16 09:00:00
A00000123,100091L,FSS,2022,2022,SELF,0,15686.32,2022-09-15,2022-08-16 09:00:00
A00000124,100091L,FSS,2023,2023,SELF,0,74699.33,2023-03-15,2023-02-13 09:00:00
A00000125,100091L,FSS,2024,2024,SELF,0,35478.62,2024-03-15,2024-02-14 09:00:00
A00000126,100091L,FSS,2025,2025,SELF,0,114926.53,2025-12-15,2025-11-15 09:00:00
A00000127,100091L,VAT,2020,2020,DEFAULT,0,14336.04,2020-03-15,2020-02-14 09:00:00
A00000128,100091L,VAT,2021,2021,SELF,0,27756.83,2021-06-15,2021-05-16 09:00:00
A00000129,100091L,VAT,2022,2022,SELF,0,45190.12,2022-03-15,2022-02-13 09:00:00
A00000130,100091L,VAT,2023,2023,SELF,0,53178.02,2023-09-15,2023-08-16 09:00:00
A00000131,100091L,VAT,2024,2024,DEFAULT,1,64143.89,2024-03-15,2024-02-14 09:00:00
A00000132,100091L,VAT,2025,2025,SELF,0,216584.89,2025-06-15,2025-05-16 09:00:00
A00000133,100091L,SSC,2020,2020,SELF,0,22360.94,2020-12-15,2020-11-15 09:00:00
A00000134,100091L,SSC,2021,2021,SELF,0,35682.01,2021-03-15,2021-02-13 09:00:00
A00000135,100091L,SSC,2022,2022,SELF,0,58564.79,2022-12-15,2022-11-15 09:00:00
A00000136,100091L,SSC,2023,2023,SELF,0,24549.97,2023-09-15,2023-08-16 09:00:00
A00000137,100091L,SSC,2024,2024,SELF,0,38557.29,2024-06-15,2024-05-16 09:00:00
A00000138,100091L,SSC,2025,2025,SELF,0,77818.19,2025-12-15,2025-11-15 09:00:00
A00000139,100091L,CIT,2023,2023,SELF,0,23945.14,2023-06-30,2023-05-31 09:00:00
A00000140,100091L,CIT,2024,2024,SELF,0,105772.67,2024-06-30,2024-05-31 09:00:00
A00000141,100091L,CIT,2025,2025,SELF,0,182154.67,2025-06-30,2025-05-31 09:00:00
A00000142,100098M,VAT,2022,2022,SELF,0,859.67,2022-12-15,2022-11-15 09:00:00
A00000143,100098M,VAT,2023,2023,AUTHORITY,0,2269.94,2023-12-15,2023-11-15 09:00:00
A00000144,100098M,VAT,2024,2024,AUTHORITY,0,2939.59,2024-09-15,2024-08-16 09:00:00
A00000145,100098M,VAT,2025,2025,SELF,0,5943.5,2025-12-15,2025-11-15 09:00:00
A00000146,100098M,CIT,2022,2022,SELF,0,1253.94,2022-06-30,2022-05-31 09:00:00
A00000147,100098M,CIT,2023,2023,SELF,0,2283.43,2023-06-30,2023-05-31 09:00:00
A00000148,100098M,CIT,2024,2024,AUTHORITY,0,1139.73,2024-06-30,2024-05-31 09:00:00
A00000149,100098M,CIT,2025,2025,AUTHORITY,0,6110.5,2025-06-30,2025-05-31 09:00:00
A00000150,100098M,FSS,2023,2023,SELF,0,274.31,2023-09-15,2023-08-16 09:00:00
A00000151,100098M,FSS,2024,2024,SELF,0,1026.22,2024-09-15,2024-08-16 09:00:00
A00000152,100098M,FSS,2025,2025,SELF,0,206.85,2025-06-15,2025-05-16 09:00:00
A00000153,100098M,SSC,2022,2022,SELF,0,933.11,2022-03-15,2022-02-13 09:00:00
A00000154,100098M,SSC,2023,2023,SELF,0,1080.46,2023-03-15,2023-02-13 09:00:00
A00000155,100098M,SSC,2024,2024,SELF,0,2967.61,2024-03-15,2024-02-14 09:00:00
A00000156,100098M,SSC,2025,2025,SELF,0,5047.73,2025-03-15,2025-02-13 09:00:00
A00000157,100105A,CIT,2020,2020,DEFAULT,1,427.18,2020-06-30,2020-05-31 09:00:00
A00000158,100105A,CIT,2021,2021,DEFAULT,1,1436.32,2021-06-30,2021-05-31 09:00:00
A00000159,100105A,CIT,2022,2022,SELF,0,816.4,2022-06-30,2022-05-31 09:00:00
A00000160,100105A,CIT,2023,2023,SELF,0,679.36,2023-06-30,2023-05-31 09:00:00
A00000161,100105A,CIT,2024,2024,SELF,0,72.16,2024-06-30,2024-05-31 09:00:00
A00000162,100105A,CIT,2025,2025,SELF,0,1655.07,2025-06-30,2025-05-31 09:00:00
A00000163,100114G,SSC,2023,2023,AUTHORITY,0,1282.9,2023-12-15,2023-11-15 09:00:00
A00000164,100114G,SSC,2024,2024,AUTHORITY,0,854.94,2024-03-15,2024-02-14 09:00:00
A00000165,100114G,SSC,2025,2025,DEFAULT,0,6733.95,2025-03-15,2025-02-13 09:00:00
A00000166,100123B,PIT,2023,2023,SELF,0,2582.61,2023-06-30,2023-05-31 09:00:00
A00000167,100123B,PIT,2024,2024,AUTHORITY,0,1688.87,2024-06-30,2024-05-31 09:00:00
A00000168,100123B,PIT,2025,2025,SELF,0,4696.01,2025-06-30,2025-05-31 09:00:00
A00000169,100123B,FSS,2022,2022,AUTHORITY,0,259.35,2022-06-15,2022-05-16 09:00:00
A00000170,100123B,FSS,2023,2023,SELF,0,1074.99,2023-06-15,2023-05-16 09:00:00
A00000171,100123B,FSS,2024,2024,SELF,0,108.59,2024-06-15,2024-05-16 09:00:00
A00000172,100123B,FSS,2025,2025,SELF,0,313.39,2025-12-15,2025-11-15 09:00:00
A00000173,100126L,PIT,2020,2020,SELF,0,428.53,2020-06-30,2020-05-31 09:00:00
A00000174,100126L,PIT,2021,2021,SELF,0,388.66,2021-06-30,2021-05-31 09:00:00
A00000175,100126L,PIT,2022,2022,SELF,0,783.6,2022-06-30,2022-05-31 09:00:00
A00000176,100126L,PIT,2023,2023,SELF,0,2633.3,2023-06-30,2023-05-31 09:00:00
A00000177,100126L,PIT,2024,2024,SELF,0,2795.27,2024-06-30,2024-05-31 09:00:00
A00000178,100126L,PIT,2025,2025,SELF,0,5066.67,2025-06-30,2025-05-31 09:00:00
A00000179,100126L,VAT,2023,2023,SELF,0,193.64,2023-06-15,2023-05-16 09:00:00
A00000180,100126L,VAT,2024,2024,SELF,0,3983.56,2024-12-15,2024-11-15 09:00:00
A00000181,100126L,VAT,2025,2025,SELF,0,2155.18,2025-09-15,2025-08-16 09:00:00
A00000182,100133A,CIT,2022,2022,SELF,0,34.9,2022-06-30,2022-05-31 09:00:00
A00000183,100133A,CIT,2023,2023,SELF,0,115.44,2023-06-30,2023-05-31 09:00:00
A00000184,100133A,CIT,2024,2024,SELF,0,104.16,2024-06-30,2024-05-31 09:00:00
A00000185,100133A,CIT,2025,2025,AUTHORITY,0,753.33,2025-06-30,2025-05-31 09:00:00
A00000186,100133A,SSC,2023,2023,SELF,0,228.22,2023-06-15,2023-05-16 09:00:00
A00000187,100133A,SSC,2024,2024,AUTHORITY,0,327.76,2024-12-15,2024-11-15 09:00:00
A00000188,100133A,SSC,2025,2025,SELF,0,664.79,2025-06-15,2025-05-16 09:00:00
A00000189,100133A,VAT,2023,2023,AUTHORITY,0,100.18,2023-06-15,2023-05-16 09:00:00
A00000190,100133A,VAT,2024,2024,SELF,0,205.61,2024-12-15,2024-11-15 09:00:00
A00000191,100133A,VAT,2025,2025,SELF,0,551.1,2025-12-15,2025-11-15 09:00:00
A00000192,100144G,FSS,2020,2020,SELF,0,1172.17,2020-03-15,2020-02-14 09:00:00
A00000193,100144G,FSS,2021,2021,AUTHORITY,0,1314.71,2021-12-15,2021-11-15 09:00:00
A00000194,100144G,FSS,2022,2022,SELF,0,967.88,2022-12-15,2022-11-15 09:00:00
A00000195,100144G,FSS,2023,2023,SELF,0,1471.75,2023-06-15,2023-05-16 09:00:00
A00000196,100144G,FSS,2024,2024,SELF,0,2311.95,2024-06-15,2024-05-16 09:00:00
A00000197,100144G,FSS,2025,2025,SELF,0,3337.58,2025-12-15,2025-11-15 09:00:00
A00000198,100144G,VAT,2023,2023,SELF,0,1106.7,2023-06-15,2023-05-16 09:00:00
A00000199,100144G,VAT,2024,2024,AUTHORITY,0,3432.14,2024-03-15,2024-02-14 09:00:00
A00000200,100144G,VAT,2025,2025,SELF,0,7677.6,2025-09-15,2025-08-16 09:00:00
A00000201,100147L,FSS,2021,2021,SELF,0,281.66,2021-12-15,2021-11-15 09:00:00
A00000202,100147L,FSS,2022,2022,SELF,0,1202.42,2022-03-15,2022-02-13 09:00:00
A00000203,100147L,FSS,2023,2023,SELF,0,2294.97,2023-09-15,2023-08-16 09:00:00
A00000204,100147L,FSS,2024,2024,SELF,0,1784.9,2024-06-15,2024-05-16 09:00:00
A00000205,100147L,FSS,2025,2025,SELF,0,6401.3,2025-03-15,2025-02-13 09:00:00
A00000206,100147L,VAT,2023,2023,SELF,0,2521.91,2023-06-15,2023-05-16 09:00:00
A00000207,100147L,VAT,2024,2024,DEFAULT,1,2128.71,2024-03-15,2024-02-14 09:00:00
A00000208,100147L,VAT,2025,2025,SELF,0,817.33,2025-06-15,2025-05-16 09:00:00
A00000209,100157B,FSS,2022,2022,DEFAULT,1,646.26,2022-03-15,2022-02-13 09:00:00
A00000210,100157B,FSS,2023,2023,AUTHORITY,0,1115.12,2023-12-15,2023-11-15 09:00:00
A00000211,100157B,FSS,2024,2024,SELF,0,1349.96,2024-03-15,2024-02-14 09:00:00
A00000212,100157B,FSS,2025,2025,SELF,0,5726.97,2025-09-15,2025-08-16 09:00:00
A00000213,100162M,SSC,2022,2022,SELF,0,3763.96,2022-12-15,2022-11-15 09:00:00
A00000214,100162M,SSC,2023,2023,SELF,0,5649.05,2023-03-15,2023-02-13 09:00:00
A00000215,100162M,SSC,2024,2024,SELF,0,6913.79,2024-06-15,2024-05-16 09:00:00
A00000216,100162M,SSC,2025,2025,AUTHORITY,0,17096.42,2025-03-15,2025-02-13 09:00:00
A00000217,100162M,PIT,2021,2021,SELF,0,901.3,2021-06-30,2021-05-31 09:00:00
A00000218,100162M,PIT,2022,2022,SELF,0,806.97,2022-06-30,2022-05-31 09:00:00
A00000219,100162M,PIT,2023,2023,SELF,0,2383.96,2023-06-30,2023-05-31 09:00:00
A00000220,100162M,PIT,2024,2024,SELF,0,3179.06,2024-06-30,2024-05-31 09:00:00
A00000221,100162M,PIT,2025,2025,SELF,0,7661.8,2025-06-30,2025-05-31 09:00:00
A00000222,100168L,FSS,2023,2023,AUTHORITY,0,545.49,2023-12-15,2023-11-15 09:00:00
A00000223,100168L,FSS,2024,2024,SELF,0,1267.86,2024-09-15,2024-08-16 09:00:00
A00000224,100168L,FSS,2025,2025,SELF,0,7268.73,2025-09-15,2025-08-16 09:00:00
A00000225,100168L,SSC,2022,2022,SELF,0,860.87,2022-09-15,2022-08-16 09:00:00
A00000226,100168L,SSC,2023,2023,SELF,0,2538.29,2023-03-15,2023-02-13 09:00:00
A00000227,100168L,SSC,2024,2024,SELF,0,3704.59,2024-12-15,2024-11-15 09:00:00
A00000228,100168L,SSC,2025,2025,SELF,0,1248.69,2025-12-15,2025-11-15 09:00:00
A00000229,100168L,CIT,2021,2021,AUTHORITY,0,1589.7,2021-06-30,2021-05-31 09:00:00
A00000230,100168L,CIT,2022,2022,SELF,0,1107.12,2022-06-30,2022-05-31 09:00:00
A00000231,100168L,CIT,2023,2023,SELF,0,2162.75,2023-06-30,2023-05-31 09:00:00
A00000232,100168L,CIT,2024,2024,AUTHORITY,0,2161.74,2024-06-30,2024-05-31 09:00:00
A00000233,100168L,CIT,2025,2025,SELF,0,4142.14,2025-06-30,2025-05-31 09:00:00
A00000234,100178B,SSC,2023,2023,SELF,0,1319.22,2023-12-15,2023-11-15 09:00:00
A00000235,100178B,SSC,2024,2024,SELF,0,1597.52,2024-09-15,2024-08-16 09:00:00
A00000236,100178B,SSC,2025,2025,SELF,0,3676.7,2025-06-15,2025-05-16 09:00:00
A00000237,100178B,CIT,2021,2021,SELF,0,239.46,2021-06-30,2021-05-31 09:00:00
A00000238,100178B,CIT,2022,2022,SELF,0,1243.72,2022-06-30,2022-05-31 09:00:00
A00000239,100178B,CIT,2023,2023,SELF,0,857.06,2023-06-30,2023-05-31 09:00:00
A00000240,100178B,CIT,2024,2024,SELF,0,2790.95,2024-06-30,2024-05-31 09:00:00
A00000241,100178B,CIT,2025,2025,AUTHORITY,0,7812.75,2025-06-30,2025-05-31 09:00:00
A00000242,100183L,CIT,2020,2020,SELF,0,29.54,2020-06-30,2020-05-31 09:00:00
A00000243,100183L,CIT,2021,2021,SELF,0,175.45,2021-06-30,2021-05-31 09:00:00
A00000244,100183L,CIT,2022,2022,SELF,0,118.13,2022-06-30,2022-05-31 09:00:00
A00000245,100183L,CIT,2023,2023,SELF,0,182.84,2023-06-30,2023-05-31 09:00:00
A00000246,100183L,CIT,2024,2024,SELF,0,380.15,2024-06-30,2024-05-31 09:00:00
A00000247,100183L,CIT,2025,2025,DEFAULT,0,650.54,2025-06-30,2025-05-31 09:00:00
A00000248,100183L,VAT,2023,2023,SELF,0,72.95,2023-03-15,2023-02-13 09:00:00
A00000249,100183L,VAT,2024,2024,SELF,0,300.39,2024-03-15,2024-02-14 09:00:00
A00000250,100183L,VAT,2025,2025,SELF,0,523.76,2025-03-15,2025-02-13 09:00:00
A00000251,100192M,VAT,2023,2023,SELF,0,2050.31,2023-06-15,2023-05-16 09:00:00
A00000252,100192M,VAT,2024,2024,SELF,0,240.28,2024-06-15,2024-05-16 09:00:00
A00000253,100192M,VAT,2025,2025,SELF,0,4944.4,2025-06-15,2025-05-16 09:00:00
A00000254,100192M,SSC,2021,2021,DEFAULT,0,20.72,2021-03-15,2021-02-13 09:00:00
A00000255,100192M,SSC,2022,2022,SELF,0,307.14,2022-09-15,2022-08-16 09:00:00
A00000256,100192M,SSC,2023,2023,SELF,0,1506.31,2023-09-15,2023-08-16 09:00:00
A00000257,100192M,SSC,2024,2024,SELF,0,2662.03,2024-09-15,2024-08-16 09:00:00
A00000258,100192M,SSC,2025,2025,AUTHORITY,0,5912.91,2025-03-15,2025-02-13 09:00:00
A00000259,100192M,CIT,2023,2023,SELF,0,273.53,2023-06-30,2023-05-31 09:00:00
A00000260,100192M,CIT,2024,2024,SELF,0,2635.9,2024-06-30,2024-05-31 09:00:00
A00000261,100192M,CIT,2025,2025,SELF,0,4133.11,2025-06-30,2025-05-31 09:00:00
A00000262,100196L,SSC,2021,2021,SELF,0,1279.78,2021-06-15,2021-05-16 09:00:00
A00000263,100196L,SSC,2022,2022,SELF,0,404.58,2022-03-15,2022-02-13 09:00:00
A00000264,100196L,SSC,2023,2023,SELF,0,1208.76,2023-12-15,2023-11-15 09:00:00
A00000265,100196L,SSC,2024,2024,SELF,0,677.77,2024-06-15,2024-05-16 09:00:00
A00000266,100196L,SSC,2025,2025,SELF,0,2207.18,2025-09-15,2025-08-16 09:00:00
A00000267,100204G,VAT,2022,2022,AUTHORITY,0,1135.13,2022-03-15,2022-02-13 09:00:00
A00000268,100204G,VAT,2023,2023,SELF,0,1453.97,2023-06-15,2023-05-16 09:00:00
A00000269,100204G,VAT,2024,2024,SELF,0,2371.68,2024-12-15,2024-11-15 09:00:00
A00000270,100204G,VAT,2025,2025,SELF,0,1867.94,2025-09-15,2025-08-16 09:00:00
A00000271,100204G,CIT,2020,2020,SELF,0,173.67,2020-06-30,2020-05-31 09:00:00
A00000272,100204G,CIT,2021,2021,DEFAULT,0,1450.17,2021-06-30,2021-05-31 09:00:00
A00000273,100204G,CIT,2022,2022,SELF,0,1020.91,2022-06-30,2022-05-31 09:00:00
A00000274,100204G,CIT,2023,2023,SELF,0,1896.8,2023-06-30,2023-05-31 09:00:00
A00000275,100204G,CIT,2024,2024,SELF,0,805.17,2024-06-30,2024-05-31 09:00:00
A00000276,100204G,CIT,2025,2025,SELF,0,441.69,2025-06-30,2025-05-31 09:00:00
